source_node_id,target_node_id,edge_type,weight,evidence_id,attributes_json
evidence:ev-02531,source:public_interaction,from_source,1.0,ev-02531,"{""evidence_id"": ""ev-02531""}"
evidence:ev-00106,source:official,from_source,1.0,ev-00106,"{""evidence_id"": ""ev-00106""}"
evidence:ev-00109,source:official,from_source,1.0,ev-00109,"{""evidence_id"": ""ev-00109""}"
evidence:ev-00150,source:official,from_source,1.0,ev-00150,"{""evidence_id"": ""ev-00150""}"
evidence:ev-02509,source:official,from_source,1.0,ev-02509,"{""evidence_id"": ""ev-02509""}"
evidence:ev-02529,source:public_interaction,from_source,1.0,ev-02529,"{""evidence_id"": ""ev-02529""}"
evidence:ev-00112,source:official,from_source,1.0,ev-00112,"{""evidence_id"": ""ev-00112""}"
evidence:ev-00127,source:official,from_source,1.0,ev-00127,"{""evidence_id"": ""ev-00127""}"
evidence:ev-00128,source:official,from_source,1.0,ev-00128,"{""evidence_id"": ""ev-00128""}"
evidence:ev-00132,source:official,from_source,1.0,ev-00132,"{""evidence_id"": ""ev-00132""}"
evidence:ev-00134,source:official,from_source,1.0,ev-00134,"{""evidence_id"": ""ev-00134""}"
evidence:ev-00140,source:official,from_source,1.0,ev-00140,"{""evidence_id"": ""ev-00140""}"
evidence:ev-00142,source:official,from_source,1.0,ev-00142,"{""evidence_id"": ""ev-00142""}"
evidence:ev-00143,source:official,from_source,1.0,ev-00143,"{""evidence_id"": ""ev-00143""}"
evidence:ev-00147,source:official,from_source,1.0,ev-00147,"{""evidence_id"": ""ev-00147""}"
evidence:ev-00149,source:official,from_source,1.0,ev-00149,"{""evidence_id"": ""ev-00149""}"
evidence:ev-00171,source:official,from_source,1.0,ev-00171,"{""evidence_id"": ""ev-00171""}"
evidence:ev-00181,source:official,from_source,1.0,ev-00181,"{""evidence_id"": ""ev-00181""}"
evidence:ev-00184,source:official,from_source,1.0,ev-00184,"{""evidence_id"": ""ev-00184""}"
evidence:ev-00188,source:official,from_source,1.0,ev-00188,"{""evidence_id"": ""ev-00188""}"
evidence:ev-02533,source:official,from_source,1.0,ev-02533,"{""evidence_id"": ""ev-02533""}"
evidence:ev-02544,source:official,from_source,1.0,ev-02544,"{""evidence_id"": ""ev-02544""}"
evidence:ev-02532,source:public_interaction,from_source,1.0,ev-02532,"{""evidence_id"": ""ev-02532""}"
evidence:ev-00177,source:news,from_source,1.0,ev-00177,"{""evidence_id"": ""ev-00177""}"
evidence:ev-00190,source:news,from_source,1.0,ev-00190,"{""evidence_id"": ""ev-00190""}"
evidence:ev-02537,source:news,from_source,1.0,ev-02537,"{""evidence_id"": ""ev-02537""}"
evidence:ev-02541,source:news,from_source,1.0,ev-02541,"{""evidence_id"": ""ev-02541""}"
evidence:ev-00162,source:public_web,from_source,1.0,ev-00162,"{""evidence_id"": ""ev-00162""}"
evidence:ev-00165,source:public_web,from_source,1.0,ev-00165,"{""evidence_id"": ""ev-00165""}"
evidence:ev-00169,source:public_web,from_source,1.0,ev-00169,"{""evidence_id"": ""ev-00169""}"
evidence:ev-00182,source:public_web,from_source,1.0,ev-00182,"{""evidence_id"": ""ev-00182""}"
evidence:ev-00187,source:public_web,from_source,1.0,ev-00187,"{""evidence_id"": ""ev-00187""}"
evidence:ev-02536,source:public_web,from_source,1.0,ev-02536,"{""evidence_id"": ""ev-02536""}"
evidence:ev-02538,source:public_web,from_source,1.0,ev-02538,"{""evidence_id"": ""ev-02538""}"
evidence:ev-02543,source:public_web,from_source,1.0,ev-02543,"{""evidence_id"": ""ev-02543""}"
evidence:ev-00175,source:forum,from_source,1.0,ev-00175,"{""evidence_id"": ""ev-00175""}"
evidence:ev-00154,source:official,from_source,1.0,ev-00154,"{""evidence_id"": ""ev-00154""}"
evidence:ev-00170,source:official,from_source,1.0,ev-00170,"{""evidence_id"": ""ev-00170""}"
evidence:ev-00183,source:official,from_source,1.0,ev-00183,"{""evidence_id"": ""ev-00183""}"
evidence:ev-00185,source:official,from_source,1.0,ev-00185,"{""evidence_id"": ""ev-00185""}"
evidence:ev-00186,source:official,from_source,1.0,ev-00186,"{""evidence_id"": ""ev-00186""}"
evidence:ev-02539,source:official,from_source,1.0,ev-02539,"{""evidence_id"": ""ev-02539""}"
evidence:ev-02540,source:official,from_source,1.0,ev-02540,"{""evidence_id"": ""ev-02540""}"
evidence:ev-02546,source:official,from_source,1.0,ev-02546,"{""evidence_id"": ""ev-02546""}"
evidence:ev-02545,source:official,from_source,1.0,ev-02545,"{""evidence_id"": ""ev-02545""}"
evidence:ev-00151,source:public_web,from_source,1.0,ev-00151,"{""evidence_id"": ""ev-00151""}"
evidence:ev-00203,source:official,from_source,1.0,ev-00203,"{""evidence_id"": ""ev-00203""}"
evidence:ev-00209,source:official,from_source,1.0,ev-00209,"{""evidence_id"": ""ev-00209""}"
evidence:ev-00216,source:official,from_source,1.0,ev-00216,"{""evidence_id"": ""ev-00216""}"
evidence:ev-00217,source:official,from_source,1.0,ev-00217,"{""evidence_id"": ""ev-00217""}"
evidence:ev-00218,source:official,from_source,1.0,ev-00218,"{""evidence_id"": ""ev-00218""}"
evidence:ev-00222,source:official,from_source,1.0,ev-00222,"{""evidence_id"": ""ev-00222""}"
evidence:ev-00226,source:official,from_source,1.0,ev-00226,"{""evidence_id"": ""ev-00226""}"
evidence:ev-00227,source:official,from_source,1.0,ev-00227,"{""evidence_id"": ""ev-00227""}"
evidence:ev-00228,source:official,from_source,1.0,ev-00228,"{""evidence_id"": ""ev-00228""}"
evidence:ev-00231,source:official,from_source,1.0,ev-00231,"{""evidence_id"": ""ev-00231""}"
evidence:ev-00247,source:official,from_source,1.0,ev-00247,"{""evidence_id"": ""ev-00247""}"
